algorithm,width,height,run,gen_time_ms,coverage
Drunken,60,60,0,4.394,35.00
Drunken,60,60,1,4.175,35.03
Drunken,60,60,2,5.417,35.00
Drunken,60,60,3,4.169,35.00
Drunken,60,60,4,4.092,35.00
Drunken,60,60,5,3.986,35.03
Drunken,60,60,6,4.629,35.00
Drunken,60,60,7,4.870,35.00
Drunken,60,60,8,4.260,35.00
Drunken,60,60,9,5.403,35.03
Drunken,100,100,0,14.648,35.00
Drunken,100,100,1,15.996,35.01
Drunken,100,100,2,14.368,35.01
Drunken,100,100,3,16.621,35.01
Drunken,100,100,4,12.409,35.00
Drunken,100,100,5,14.629,35.01
Drunken,100,100,6,16.795,35.01
Drunken,100,100,7,14.357,35.00
Drunken,100,100,8,15.853,35.00
Drunken,100,100,9,17.015,35.01
Drunken,150,150,0,31.033,35.01
Drunken,150,150,1,29.226,35.02
Drunken,150,150,2,37.127,35.00
Drunken,150,150,3,48.910,35.01
Drunken,150,150,4,45.500,35.00
Drunken,150,150,5,30.400,35.00
Drunken,150,150,6,29.390,35.00
Drunken,150,150,7,33.226,35.00
Drunken,150,150,8,38.936,35.00
Drunken,150,150,9,36.864,35.00
Drunken,20,50,0,1.597,35.00
Drunken,20,50,1,1.751,35.00
Drunken,20,50,2,1.087,35.10
Drunken,20,50,3,1.165,35.10
Drunken,20,50,4,1.273,35.00
Drunken,20,50,5,1.004,35.00
Drunken,20,50,6,1.101,35.00
Drunken,20,50,7,1.541,35.10
Drunken,20,50,8,1.413,35.00
Drunken,20,50,9,1.077,35.10
Drunken,70,30,0,3.297,35.00
Drunken,70,30,1,3.289,35.00
Drunken,70,30,2,2.572,35.05
Drunken,70,30,3,2.808,35.00
Drunken,70,30,4,2.588,35.10
Drunken,70,30,5,3.300,35.05
Drunken,70,30,6,2.381,35.00
Drunken,70,30,7,2.480,35.10
Drunken,70,30,8,2.633,35.05
Drunken,70,30,9,2.627,35.00
Cellular,60,60,0,27.466,63.00
Cellular,60,60,1,27.489,63.67
Cellular,60,60,2,27.377,69.00
Cellular,60,60,3,26.792,61.36
Cellular,60,60,4,26.987,62.78
Cellular,60,60,5,27.409,68.08
Cellular,60,60,6,27.132,62.97
Cellular,60,60,7,27.236,65.31
Cellular,60,60,8,26.884,63.03
Cellular,60,60,9,27.657,65.53
Cellular,100,100,0,77.317,66.02
Cellular,100,100,1,78.391,73.52
Cellular,100,100,2,76.783,68.27
Cellular,100,100,3,78.059,69.07
Cellular,100,100,4,78.274,69.79
Cellular,100,100,5,77.918,71.63
Cellular,100,100,6,78.222,70.96
Cellular,100,100,7,78.283,68.70
Cellular,100,100,8,77.652,71.49
Cellular,100,100,9,77.452,66.36
Cellular,150,150,0,178.700,74.24
Cellular,150,150,1,176.699,71.08
Cellular,150,150,2,179.208,76.09
Cellular,150,150,3,180.445,72.67
Cellular,150,150,4,178.592,73.52
Cellular,150,150,5,176.822,72.13
Cellular,150,150,6,176.279,70.59
Cellular,150,150,7,178.767,73.96
Cellular,150,150,8,177.679,73.31
Cellular,150,150,9,177.194,70.78
Cellular,20,50,0,7.037,58.50
Cellular,20,50,1,7.224,64.60
Cellular,20,50,2,7.006,46.40
Cellular,20,50,3,7.180,55.60
Cellular,20,50,4,7.093,50.30
Cellular,20,50,5,7.306,55.50
Cellular,20,50,6,7.147,51.80
Cellular,20,50,7,7.128,54.40
Cellular,20,50,8,7.297,63.20
Cellular,20,50,9,7.212,59.20
Cellular,70,30,0,15.570,57.24
Cellular,70,30,1,15.689,66.29
Cellular,70,30,2,15.498,61.14
Cellular,70,30,3,15.502,62.38
Cellular,70,30,4,15.132,51.24
Cellular,70,30,5,15.423,60.14
Cellular,70,30,6,15.730,72.10
Cellular,70,30,7,15.506,61.90
Cellular,70,30,8,15.540,66.29
Cellular,70,30,9,15.309,55.19
Rooms,60,60,0,7.743,37.67
Rooms,60,60,1,8.581,38.31
Rooms,60,60,2,8.032,42.03
Rooms,60,60,3,6.990,44.58
Rooms,60,60,4,6.217,46.22
Rooms,60,60,5,5.841,48.92
Rooms,60,60,6,5.489,50.67
Rooms,60,60,7,4.615,45.28
Rooms,60,60,8,4.259,43.83
Rooms,60,60,9,4.621,50.08
Rooms,100,100,0,6.641,25.20
Rooms,100,100,1,6.090,23.80
Rooms,100,100,2,5.286,20.82
Rooms,100,100,3,6.425,27.83
Rooms,100,100,4,5.832,25.65
Rooms,100,100,5,5.576,24.10
Rooms,100,100,6,5.547,25.00
Rooms,100,100,7,5.609,25.45
Rooms,100,100,8,5.660,25.39
Rooms,100,100,9,6.153,28.04
Rooms,150,150,0,7.808,13.65
Rooms,150,150,1,7.878,13.86
Rooms,150,150,2,8.003,14.03
Rooms,150,150,3,8.399,14.88
Rooms,150,150,4,8.523,15.07
Rooms,150,150,5,7.399,12.87
Rooms,150,150,6,8.109,14.48
Rooms,150,150,7,6.930,12.44
Rooms,150,150,8,7.956,14.72
Rooms,150,150,9,6.925,11.89
Rooms,20,50,0,0.904,43.40
Rooms,20,50,1,1.054,50.20
Rooms,20,50,2,0.857,41.40
Rooms,20,50,3,0.965,46.80
Rooms,20,50,4,0.981,46.80
Rooms,20,50,5,0.966,46.00
Rooms,20,50,6,0.842,38.50
Rooms,20,50,7,0.958,45.60
Rooms,20,50,8,0.920,44.60
Rooms,20,50,9,0.975,45.60
Rooms,70,30,0,1.516,33.81
Rooms,70,30,1,2.479,55.00
Rooms,70,30,2,2.382,55.00
Rooms,70,30,3,2.111,48.38
Rooms,70,30,4,2.016,45.57
Rooms,70,30,5,2.005,45.00
Rooms,70,30,6,2.127,49.67
Rooms,70,30,7,1.872,42.76
Rooms,70,30,8,2.008,47.10
Rooms,70,30,9,2.077,47.71
Maze,60,60,0,3.561,60.11
Maze,60,60,1,3.512,60.11
Maze,60,60,2,3.384,60.11
Maze,60,60,3,3.436,60.11
Maze,60,60,4,3.508,60.11
Maze,60,60,5,3.459,60.11
Maze,60,60,6,3.427,60.11
Maze,60,60,7,3.547,60.11
Maze,60,60,8,3.507,60.11
Maze,60,60,9,3.546,60.11
Maze,100,100,0,10.107,61.42
Maze,100,100,1,10.256,61.42
Maze,100,100,2,10.017,61.42
Maze,100,100,3,10.127,61.42
Maze,100,100,4,10.132,61.42
Maze,100,100,5,10.102,61.42
Maze,100,100,6,10.256,61.42
Maze,100,100,7,10.028,61.42
Maze,100,100,8,10.160,61.42
Maze,100,100,9,9.888,61.42
Maze,150,150,0,22.926,64.02
Maze,150,150,1,23.372,64.02
Maze,150,150,2,23.532,64.02
Maze,150,150,3,23.206,64.02
Maze,150,150,4,23.696,64.02
Maze,150,150,5,23.488,64.02
Maze,150,150,6,23.668,64.02
Maze,150,150,7,23.609,64.02
Maze,150,150,8,22.333,64.02
Maze,150,150,9,23.049,64.02
Maze,20,50,0,0.933,57.40
Maze,20,50,1,0.938,57.40
Maze,20,50,2,0.947,57.40
Maze,20,50,3,0.935,57.40
Maze,20,50,4,0.869,57.40
Maze,20,50,5,0.890,57.40
Maze,20,50,6,0.924,57.40
Maze,20,50,7,0.908,57.40
Maze,20,50,8,0.898,57.40
Maze,20,50,9,0.957,57.40
Maze,70,30,0,1.942,56.48
Maze,70,30,1,1.843,56.48
Maze,70,30,2,1.784,56.48
Maze,70,30,3,1.827,56.48
Maze,70,30,4,1.807,56.48
Maze,70,30,5,1.853,56.48
Maze,70,30,6,1.906,56.48
Maze,70,30,7,1.866,56.48
Maze,70,30,8,1.893,56.48
Maze,70,30,9,1.940,56.48
BSP,60,60,0,2.907,46.47
BSP,60,60,1,2.959,46.89
BSP,60,60,2,2.937,48.14
BSP,60,60,3,2.960,46.47
BSP,60,60,4,2.910,45.08
BSP,60,60,5,2.953,47.53
BSP,60,60,6,2.896,46.92
BSP,60,60,7,2.927,47.03
BSP,60,60,8,2.974,46.50
BSP,60,60,9,2.932,46.33
BSP,100,100,0,9.530,64.29
BSP,100,100,1,9.482,62.63
BSP,100,100,2,9.544,62.92
BSP,100,100,3,9.615,62.03
BSP,100,100,4,9.863,64.67
BSP,100,100,5,9.719,62.75
BSP,100,100,6,9.974,63.92
BSP,100,100,7,9.697,62.95
BSP,100,100,8,9.731,63.34
BSP,100,100,9,9.936,65.01
BSP,150,150,0,24.731,74.44
BSP,150,150,1,24.192,73.75
BSP,150,150,2,24.775,74.56
BSP,150,150,3,24.228,72.97
BSP,150,150,4,24.936,74.20
BSP,150,150,5,24.617,74.64
BSP,150,150,6,23.880,73.42
BSP,150,150,7,23.973,73.51
BSP,150,150,8,24.900,74.15
BSP,150,150,9,24.517,74.94
BSP,20,50,0,0.691,28.60
BSP,20,50,1,0.683,26.00
BSP,20,50,2,0.670,28.20
BSP,20,50,3,0.645,26.80
BSP,20,50,4,0.681,28.00
BSP,20,50,5,0.666,27.50
BSP,20,50,6,0.694,28.80
BSP,20,50,7,0.654,27.10
BSP,20,50,8,0.648,26.50
BSP,20,50,9,0.689,29.40
BSP,70,30,0,1.534,37.14
BSP,70,30,1,1.536,35.90
BSP,70,30,2,1.543,35.52
BSP,70,30,3,1.543,37.71
BSP,70,30,4,1.600,36.90
BSP,70,30,5,1.474,36.38
BSP,70,30,6,1.491,34.90
BSP,70,30,7,1.464,36.86
BSP,70,30,8,1.436,36.05
BSP,70,30,9,1.388,34.00
Drunken,60,60,0,3.833,35.03
Drunken,60,60,1,4.914,35.00
Drunken,60,60,2,4.665,35.03
Drunken,60,60,3,4.765,35.00
Drunken,60,60,4,4.082,35.03
Drunken,60,60,5,6.486,35.00
Drunken,60,60,6,4.208,35.00
Drunken,60,60,7,5.557,35.03
Drunken,60,60,8,5.684,35.03
Drunken,60,60,9,4.198,35.00
Drunken,100,100,0,12.730,35.00
Drunken,100,100,1,15.212,35.00
Drunken,100,100,2,21.599,35.00
Drunken,100,100,3,12.711,35.00
Drunken,100,100,4,13.592,35.00
Drunken,100,100,5,16.767,35.00
Drunken,100,100,6,12.396,35.00
Drunken,100,100,7,13.044,35.00
Drunken,100,100,8,15.212,35.00
Drunken,100,100,9,15.962,35.00
Drunken,150,150,0,31.683,35.00
Drunken,150,150,1,37.818,35.00
Drunken,150,150,2,32.132,35.00
